timestamp,question,page,ua,status,answer,answeredAt
2026-08-18T09:14:22.000Z,"Which democracy aspect has the most threats with no proposed mitigation strategy?",/ai-democracy-map-dev/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0 Safari/537.36",answered,"Filter Type = Threat, then sort by Democracy aspect. In v10.3 ""Opinion Formation and Political Participation"" (3.2) has the most threat rows without a paired mitigation, followed by ""Effective and Accountable Government"" (2.3).",2026-08-19T08:40:00.000Z
2026-08-19T13:47:05.000Z,"Are there more threats or more opportunities coded to Free and Fair Elections?",/ai-democracy-map-dev/,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",answered,"Far more threats. Click the ""Free & Fair Elections"" bubble in Q1 to filter the table — most entries are Threat or Threat+mitigation; only a couple are independent opportunities.",2026-08-20T10:05:00.000Z
2026-08-20T16:02:39.000Z,"Which harm mechanisms co-occur most often with Opinion Formation and Political Participation?",/ai-democracy-map-dev/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0 Safari/537.36 Edg/127.0",new,,
2026-08-21T08:33:11.000Z,"Can you export a CSV of only the entries that mention deepfakes or synthetic media?",/ai-democracy-map-dev/,"Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0",answered,"Search ""deepfake"" in the table, then use Export CSV — it exports the currently filtered rows. Also try harm codes T5a.1 / T4.1.",2026-08-22T09:15:00.000Z
2026-08-22T11:20:48.000Z,"Which sources contribute the most entries, and is the dataset skewed toward US-focused literature?",/ai-democracy-map-dev/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",new,,
2026-08-24T15:55:02.000Z,"What pro-democracy activities in the data address power concentration around AI companies?",/ai-democracy-map-dev/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0 Safari/537.36",new,,
2026-08-26T10:41:37.000Z,"Do any opportunities (not threats) map to Transnational Dynamics? I can only find threats there.",/ai-democracy-map-dev/,"Mozilla/5.0 (iPad; CPU OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",new,,
2026-08-27T14:09:26.000Z,"How many entries specifically concern election administration vs. campaigning vs. information environment?",/ai-democracy-map-dev/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0 Safari/537.36",new,,
2026-08-29T09:02:14.000Z,"Which mitigations require new legislation versus technical or institutional fixes? Is that split coded anywhere?",/ai-democracy-map-dev/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0",new,,
2026-08-30T17:36:58.000Z,"The footnote says there's no data on severity — will a future version rank which threats are most consequential?",admin,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0 Safari/537.36",new,,
