,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Stable ID,Threat (paraphrased),Threat (verbatim),Pro-dem Mitigation (paraphrased),Pro-dem Mitigation (verbatim),Pro-dem Opportunity (paraphrased),Pro-dem Opportunity (verbatim),Source,Note,Democracy Aspect  1,Democracy Aspect  2,Democracy Aspect  3,Democracy Aspect  4,Democracy Aspect  5,Democracy Aspect  6,More than 4 Democracy Codes ,,,,
1,AI-generated disinformation and deepfakes undermine trust in elections,"""risks remain as deepfakes and misinformation threaten to cause more extreme damage"" [re: the risks here refer to the intersection of AI technologies with elections and campaigns (paragraph intro)]","Content authentication, monitoring","""watermarking and provenance efforts aiming to enable users and monitors to determine the authenticity of content""; but those ""have limited effectiveness"" and therefore ""more comprehensive solutions"" are needed",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.1 PRIMARY Free and Fair Elections,3.1 SECONDARY Independent and Fact-Based Journalistic Media,3.2 SECONDARY Opinion Formation and Political Participation,,,,no,,,,
2,"Sexualised deepfakes targeting female politicians cause direct harm and create a chilling effect that discourages women from running for office, narrowing democratic representation ",Sexualized deepfakes and other attacks on female politicians…not only harm candidates directly but can create a chilling effect that discourages women from running for office,///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked, 1.3 PRIMARY Civil and Political Rights,2.1 SECONDARY Free and Fair Elections,1.1 SECONDARY Nationhood and Citizenship,,,,no,,,,
3,AI enables foreign interference in elections,"""AI…supporting foreign election influence campaigns""",Disrupt and monitor influence operations,"""disrupted influence operations aimed at voters""",///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked, 4.1 PRIMARY External Influences on the Country's Democracy,2.1 SECONDARY Free and Fair Elections,,,,,no,,,,
4,"Voter suppression through LLMs sharing incorrect or outdated voter registration information, or robocalls.","""LLMs that share information about voter registration, voter identification
requirements, polling access, and more could potentially contribute to voter suppression,
either through the spread of misinformation""",///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.1 PRIMARY Free and Fair Elections,1.1 SECONDARY Nationhood and Citizenship,,,,,no,,,,
5,///,///,///,///,Verified voter information systems and partnerships,"""safe and trusted use of generative AI for voter information""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,2.1 PRIMARY Free and Fair Elections,1.1 SECONDARY Nationhood and Citizenship,,,,,no,,,,
6,"LLMs can produce politically biased and highly persuasive content, influencing political views","""LLMs can produce politically biased and highly persuasive content, which can undermine democracy by influencing political views""",///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,2.8 SECONDARY Illegitimate Influence over Policy-Making,,,,,no,,,,
7,///,///,///,///,"AI can dramatically scale citizen dialogue and consultation, expanding depth of participation and democratic representation","""""AI holds the potential to dramatically scale citizen dialogue and consultation, both for the governance of models themselves as well as to facilitate citizen input into government and policy""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 Opinion Formation and Political Participation (primary), 2.3 SECONDARY Effective and Accountable Government,1.3 SECONDARY Civil and Political Rights,,,,no,,,,
8,"LLM agents can spread misinformation more convincingly than individual humans, risking erosion of trust and withdrawal from public discourse","""language model agents, which are AI systems using LLMs, can spread misinformation even more convincingly…if you could just as well be talking to a human as to a bot, then what's the point in that conversation at all""",///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,3.1 SECONDARY Independent and Fact-Based Journalistic Media,,,,,no,,,,
9,///,///,///,///,"Civil society and technology initiatives are calling to ""democratize AI"" by evaluating the democratic level of AI models and working toward more participatory and public-interest approaches to AI development.","""calls to 'democratize AI' by defining and evaluating the 'democratic level' of AI models and working toward more participatory and public-interest AI""","George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,3.2 PRIMARY Opinion Formation and Political Participation,2.3 SECONDARY Effective and Accountable Government,1.1 SECONDARY Nationhood and Citizenship,2.8 SECONDARY Illegitimate Influence over Policy-Making,,,no,,,,
10,"Unequal trust in and uptake of AI tools among women, disabled individuals, and other marginalised groups risks uneven participation and weakened democratic potential of AI in government services","""women reporting significantly less trust in and uptake of such tools than men…Disabled individuals and other marginalized groups also report lower trust…Such a pattern threatens to weaken AI's democratic potential if participation is uneven across populations""",///,///,///,///,"George, R. and Klaus, I. (2026). AI and Democracy: Mapping the Intersections. Carnegie Endowment for International Peace. Available at: https://carnegieendowment.org/research/2026/01/ai-and-democracy-mapping-the-intersections?lang=en ",checked,1.1 PRIMARY Nationhood and Citizenship,3.2 SECONDARY Opinion Formation and Political Participation,,,,,no,,,,
